filename,title,solution,feature,role
./metadata.md,,"Experience Manager, Experience Manager as a Cloud Service",,
./help/main-toc/TOC.md,,,,
./help/overview/introduction.md,Introduction to Adobe Experience Manager as a Cloud Service,,Release Information,Admin
./help/overview/what-is-new-and-different.md,What is Different and What is New - Adobe Experience Manager as a Cloud Service,,Release Information,Admin
./help/overview/terminology.md,Introduction to Adobe Experience Manager as a Cloud Service - Terminology,,Release Information,Admin
./help/overview/architecture.md,Introduction to the Architecture of Adobe Experience Manager as a Cloud Service,,Release Information,Admin
./help/overview/seo-and-url-management.md,SEO and URL Management Best Practices for Adobe Experience Manager as a Cloud Service,,Release Information,Admin
./help/overview/aem-cloud-service-on-unified-shell.md,AEM as a Cloud Service on Unified Shell,,Release Information,Admin
./help/overview/assessing-kpis.md,Accessing KPIs,,Release Information,Admin
./help/overview/aligning-kpis.md,Aligning KPIs,,Release Information,Admin
./help/overview/choose-right-team.md,"Right People, right roles",,Release Information,Admin
./help/journey-documentation/documentation-journeys.md,AEM Documentation Journeys,,Release Information,Admin
./help/release-notes/home.md,Release Notes for Adobe Experience Manager (AEM) as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/release-notes-current.md,Current Release Notes for [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2024/release-notes-2024-4-0.md,Release Notes for 2024.4.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2024/release-notes-2024-3-0.md,Release Notes for 2024.3.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2024/release-notes-2024-1-0.md,Release Notes for 2024.1.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-12-0.md,Release Notes for 2023.12.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-11-0.md,Release Notes for 2023.11.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-10-0.md,Release Notes for 2023.10.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-9-0.md,Release Notes for 2023.9.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-8-0.md,Release Notes for 2023.8.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-7-0.md,Release Notes for 2023.7.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-6-0.md,Release Notes for 2023.6.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-4-0.md,Release Notes for 2023.4.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-2-0.md,Release Notes for 2023.2.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2023/release-notes-2023-1-0.md,Release Notes for 2023.1.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2022/release-notes-2022-10-0.md,Release Notes for 2022.10.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2022/release-notes-2022-8-0.md,Release Notes for 2022.8.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2022/release-notes-2022-7-0.md,Release Notes for 2022.7.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2022/release-notes-2022-6-0.md,Release Notes for 2022.6.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2022/release-notes-2022-5-0.md,Release Notes for 2022.5.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2022/release-notes-2022-4-0.md,Release Notes for 2022.4.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
./help/release-notes/release-notes-cloud/2022/release-notes-2022-3-0.md,Release Notes for 2022.3.0 release of [!DNL Adobe Experience Manager] as a Cloud Service.,,Release Information,Admin
